date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:19	118870/118870	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Feb%202024%2016:24:52%20GMT	https://bracketweb.com/delogis-html/main-html/index2.html	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/index2.html	(from )
01:30:20	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Aug%202024%2022:30:19%20GMT	https://bracketweb.com/robots.txt		(from )
01:30:20	26409/26409	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202024%2007:43:10%20GMT	https://bracketweb.com/delogis-html/main-html/assets/images/favicons/apple-touch-icon.png	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/assets/images/favicons/apple-touch-icon.png	(from https://bracketweb.com/delogis-html/main-html/index2.html)
01:30:20	2184/2184	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202024%2007:43:10%20GMT	https://bracketweb.com/delogis-html/main-html/assets/images/favicons/favicon-32x32.png	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/assets/images/favicons/favicon-32x32.png	(from https://bracketweb.com/delogis-html/main-html/index2.html)
01:30:21	809/809	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202024%2007:43:10%20GMT	https://bracketweb.com/delogis-html/main-html/assets/images/favicons/favicon-16x16.png	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/assets/images/favicons/favicon-16x16.png	(from https://bracketweb.com/delogis-html/main-html/index2.html)
01:30:21	263/263	---M--	200	added ('OK')	application/manifest+json	date:Mon,%2029%20Jan%202024%2007:43:10%20GMT	https://bracketweb.com/delogis-html/main-html/assets/images/favicons/site.webmanifest	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/assets/images/favicons/site.webmanifest	(from https://bracketweb.com/delogis-html/main-html/index2.html)
01:30:21	154881/154881	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2007:43:10%20GMT	https://bracketweb.com/delogis-html/main-html/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://bracketweb.com/delogis-html/main-html/index2.html)
01:30:22	87493/87493	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2007:43:10%20GMT	https://bracketweb.com/delogis-html/main-html/assets/vendors/animate/animate.min.css	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/assets/vendors/animate/animate.min.css	(from https://bracketweb.com/delogis-html/main-html/index2.html)
01:30:22	32910/32910	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2007:43:10%20GMT	https://bracketweb.com/delogis-html/main-html/assets/vendors/animate/custom-animate.css	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/assets/vendors/animate/custom-animate.css	(from https://bracketweb.com/delogis-html/main-html/index2.html)
01:30:22	59348/59348	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Jan%202024%2007:43:10%20GMT	https://bracketweb.com/delogis-html/main-html/assets/vendors/fontawesome/css/all.min.css	C:/Users/Orange/Desktop/rama/Rama1/bracketweb.com/delogis-html/main-html/assets/vendors/fontawesome/css/all.min.css	(from https://bracketweb.com/delogis-html/main-html/index2.html)
